<tt style='background-color:#E8E8E8;'> Unsafe.Coerce <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Unsafe-Coerce.html#v:unsafeCoerce'>unsafeCoerce </a>  a -> b </tt>	The highly unsafe primitive unsafeCoerce converts a value from any type to any other type
<tt style='background-color:#E8E8E8;'> Text.ParserCombinators.ReadPrec <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Text-ParserCombinators-ReadPrec.html#v:get'>get </a>  ReadPrec Char </tt>	Consumes and returns the next character
<tt style='background-color:#E8E8E8;'> Text.ParserCombinators.ReadPrec <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Text-ParserCombinators-ReadPrec.html#v:look'>look </a>  ReadPrec String </tt>	Look-ahead: returns the part of the input that is left, without consuming it
<tt style='background-color:#E8E8E8;'> Text.ParserCombinators.ReadPrec <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Text-ParserCombinators-ReadPrec.html#v:(+++)'>(+++) </a>  ReadPrec a -> ReadPrec a -> ReadPrec a </tt>	Symmetric choice
<tt style='background-color:#E8E8E8;'> Text.ParserCombinators.ReadPrec <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Text-ParserCombinators-ReadPrec.html#v:(<++)'>(<++) </a>  ReadPrec a -> ReadPrec a -> ReadPrec a </tt>	Local, exclusive, left-biased choice: If left parser locally produces any result at all, then right parser is not used
<tt style='background-color:#E8E8E8;'> Text.ParserCombinators.ReadPrec <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Text-ParserCombinators-ReadPrec.html#v:pfail'>pfail </a>  ReadPrec a </tt>	Always fails
<tt style='background-color:#E8E8E8;'> Text.ParserCombinators.ReadPrec <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Text-ParserCombinators-ReadPrec.html#v:choice'>choice </a>  [ReadPrec a] -> ReadPrec a </tt>	Combines all parsers in the specified list
<tt style='background-color:#E8E8E8;'> Text.Read.Lex <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Text-Read-Lex.html#v:Char'>Char </a>  Char -> Lexeme </tt>	Character literal
<tt style='background-color:#E8E8E8;'> Text.Read.Lex <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Text-Read-Lex.html#v:String'>String </a>  String -> Lexeme </tt>	String literal, with escapes interpreted
<tt style='background-color:#E8E8E8;'> Text.Read.Lex <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Text-Read-Lex.html#v:Punc'>Punc </a>  String -> Lexeme </tt>	Punctuation or reserved symbol, e
<tt style='background-color:#E8E8E8;'> Text.Read.Lex <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Text-Read-Lex.html#v:Ident'>Ident </a>  String -> Lexeme </tt>	Haskell identifier, e
<tt style='background-color:#E8E8E8;'> Text.Read.Lex <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Text-Read-Lex.html#v:Symbol'>Symbol </a>  String -> Lexeme </tt>	Haskell symbol, e
<tt style='background-color:#E8E8E8;'> Text.Read.Lex <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Text-Read-Lex.html#v:hsLex'>hsLex </a>  ReadP String </tt>	Haskell lexer: returns the lexed string, rather than the lexeme
<tt style='background-color:#E8E8E8;'> Data.Word <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-Word.html#v:byteSwap16'>byteSwap16 </a>  Word16 -> Word16 </tt>	Swap bytes in Word16
<tt style='background-color:#E8E8E8;'> Data.Word <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-Word.html#v:byteSwap32'>byteSwap32 </a>  Word32 -> Word32 </tt>	Reverse order of bytes in Word32
<tt style='background-color:#E8E8E8;'> Data.Word <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-Word.html#v:byteSwap64'>byteSwap64 </a>  Word64 -> Word64 </tt>	Reverse order of bytes in Word64
<tt style='background-color:#E8E8E8;'> Data.Ord <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-Ord.html#v:compare'>compare </a>  Ord a => a -> a -> Ordering </tt>	The Ord class is used for totally ordered datatypes
<tt style='background-color:#E8E8E8;'> Data.Ord <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-Ord.html#v:Down'>Down </a>  a -> Down a </tt>	The Down type allows you to reverse sort order conveniently
<tt style='background-color:#E8E8E8;'> Data.Ord <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-Ord.html#v:comparing'>comparing </a>  (Ord a) => (b -> a) -> b -> b -> Ordering </tt>	comparing p x y = compare (p x) (p y)   Useful combinator for use in conjunction with the xxxBy family of functions from Data
<tt style='background-color:#E8E8E8;'> Data.Type.Coercion <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-Type-Coercion.html#v:Coercion'>Coercion </a>  Coercion a b </tt>	Representational equality
<tt style='background-color:#E8E8E8;'> Data.Type.Coercion <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-Type-Coercion.html#v:coerceWith'>coerceWith </a>  Coercion a b -> a -> b </tt>	Type-safe cast, using representational equality
<tt style='background-color:#E8E8E8;'> Data.Type.Coercion <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-Type-Coercion.html#v:sym'>sym </a>  Coercion a b -> Coercion b a </tt>	Symmetry of representational equality
<tt style='background-color:#E8E8E8;'> Data.Type.Coercion <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-Type-Coercion.html#v:trans'>trans </a>  Coercion a b -> Coercion b c -> Coercion a c </tt>	Transitivity of representational equality
<tt style='background-color:#E8E8E8;'> Data.Type.Coercion <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-Type-Coercion.html#v:testCoercion'>testCoercion </a>  TestCoercion f => f a -> f b -> Maybe (Coercion a b) </tt>	Conditionally prove the representational equality of a and b
<tt style='background-color:#E8E8E8;'> Control.Category <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Control-Category.html#v:id'>id </a>  Category cat => cat a a </tt>	the identity morphism
<tt style='background-color:#E8E8E8;'> Control.Category <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Control-Category.html#v:(DOT)'>(.) </a>  Category cat => cat b c -> cat a b -> cat a c </tt>	morphism composition
<tt style='background-color:#E8E8E8;'> Control.Category <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Control-Category.html#v:(<<<)'>(<<<) </a>  Category cat => cat b c -> cat a b -> cat a c </tt>	Right-to-left composition
<tt style='background-color:#E8E8E8;'> Control.Category <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Control-Category.html#v:(>>>)'>(>>>) </a>  Category cat => cat a b -> cat b c -> cat a c </tt>	Left-to-right composition
<tt style='background-color:#E8E8E8;'> Data.Char <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-Char.html#v:isControl'>isControl </a>  Char -> Bool </tt>	Selects control characters, which are the non-printing characters of the Latin-1 subset of Unicode
<tt style='background-color:#E8E8E8;'> Data.Char <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-Char.html#v:isSpace'>isSpace </a>  Char -> Bool </tt>	Returns True for any Unicode space character, and the control characters \t, \n, \r, \f, \v
<tt style='background-color:#E8E8E8;'> Data.Char <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-Char.html#v:isLower'>isLower </a>  Char -> Bool </tt>	Selects lower-case alphabetic Unicode characters (letters)
<tt style='background-color:#E8E8E8;'> Data.Char <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-Char.html#v:isUpper'>isUpper </a>  Char -> Bool </tt>	Selects upper-case or title-case alphabetic Unicode characters (letters)
<tt style='background-color:#E8E8E8;'> Data.Char <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-Char.html#v:isAlpha'>isAlpha </a>  Char -> Bool </tt>	Selects alphabetic Unicode characters (lower-case, upper-case and title-case letters, plus letters of caseless scripts and modifiers letters)
<tt style='background-color:#E8E8E8;'> Data.Char <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-Char.html#v:isAlphaNum'>isAlphaNum </a>  Char -> Bool </tt>	Selects alphabetic or numeric digit Unicode characters
<tt style='background-color:#E8E8E8;'> Data.Char <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-Char.html#v:isPrint'>isPrint </a>  Char -> Bool </tt>	Selects printable Unicode characters (letters, numbers, marks, punctuation, symbols and spaces)
<tt style='background-color:#E8E8E8;'> Data.Char <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-Char.html#v:isDigit'>isDigit </a>  Char -> Bool </tt>	Selects ASCII digits
<tt style='background-color:#E8E8E8;'> Data.Char <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-Char.html#v:isOctDigit'>isOctDigit </a>  Char -> Bool </tt>	Selects ASCII octal digits
<tt style='background-color:#E8E8E8;'> Data.Char <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-Char.html#v:isHexDigit'>isHexDigit </a>  Char -> Bool </tt>	Selects ASCII hexadecimal digits
<tt style='background-color:#E8E8E8;'> Data.Char <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-Char.html#v:isLetter'>isLetter </a>  Char -> Bool </tt>	Selects alphabetic Unicode characters (lower-case, upper-case and title-case letters, plus letters of caseless scripts and modifiers letters)
<tt style='background-color:#E8E8E8;'> Data.Char <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-Char.html#v:isMark'>isMark </a>  Char -> Bool </tt>	Selects Unicode mark characters, for example accents and the like, which combine with preceding characters
<tt style='background-color:#E8E8E8;'> Data.Char <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-Char.html#v:isNumber'>isNumber </a>  Char -> Bool </tt>	Selects Unicode numeric characters, including digits from various scripts, Roman numerals, et cetera
<tt style='background-color:#E8E8E8;'> Data.Char <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-Char.html#v:isPunctuation'>isPunctuation </a>  Char -> Bool </tt>	Selects Unicode punctuation characters, including various kinds of connectors, brackets and quotes
<tt style='background-color:#E8E8E8;'> Data.Char <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-Char.html#v:isSymbol'>isSymbol </a>  Char -> Bool </tt>	Selects Unicode symbol characters, including mathematical and currency symbols
<tt style='background-color:#E8E8E8;'> Data.Char <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-Char.html#v:isSeparator'>isSeparator </a>  Char -> Bool </tt>	Selects Unicode space and separator characters
<tt style='background-color:#E8E8E8;'> Data.Char <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-Char.html#v:isAscii'>isAscii </a>  Char -> Bool </tt>	Selects the first 128 characters of the Unicode character set, corresponding to the ASCII character set
<tt style='background-color:#E8E8E8;'> Data.Char <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-Char.html#v:isLatin1'>isLatin1 </a>  Char -> Bool </tt>	Selects the first 256 characters of the Unicode character set, corresponding to the ISO 8859-1 (Latin-1) character set
<tt style='background-color:#E8E8E8;'> Data.Char <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-Char.html#v:isAsciiUpper'>isAsciiUpper </a>  Char -> Bool </tt>	Selects ASCII upper-case letters
<tt style='background-color:#E8E8E8;'> Data.Char <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-Char.html#v:isAsciiLower'>isAsciiLower </a>  Char -> Bool </tt>	Selects ASCII lower-case letters
<tt style='background-color:#E8E8E8;'> Data.Char <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-Char.html#v:UppercaseLetter'>UppercaseLetter </a>  GeneralCategory </tt>	Lu: Letter, Uppercase
<tt style='background-color:#E8E8E8;'> Data.Char <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-Char.html#v:LowercaseLetter'>LowercaseLetter </a>  GeneralCategory </tt>	Ll: Letter, Lowercase
<tt style='background-color:#E8E8E8;'> Data.Char <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-Char.html#v:TitlecaseLetter'>TitlecaseLetter </a>  GeneralCategory </tt>	Lt: Letter, Titlecase
<tt style='background-color:#E8E8E8;'> Data.Char <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-Char.html#v:ModifierLetter'>ModifierLetter </a>  GeneralCategory </tt>	Lm: Letter, Modifier
<tt style='background-color:#E8E8E8;'> Data.Char <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-Char.html#v:OtherLetter'>OtherLetter </a>  GeneralCategory </tt>	Lo: Letter, Other
<tt style='background-color:#E8E8E8;'> Data.Char <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-Char.html#v:NonSpacingMark'>NonSpacingMark </a>  GeneralCategory </tt>	Mn: Mark, Non-Spacing
<tt style='background-color:#E8E8E8;'> Data.Char <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-Char.html#v:SpacingCombiningMark'>SpacingCombiningMark </a>  GeneralCategory </tt>	Mc: Mark, Spacing Combining
<tt style='background-color:#E8E8E8;'> Data.Char <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-Char.html#v:EnclosingMark'>EnclosingMark </a>  GeneralCategory </tt>	Me: Mark, Enclosing
<tt style='background-color:#E8E8E8;'> Data.Char <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-Char.html#v:DecimalNumber'>DecimalNumber </a>  GeneralCategory </tt>	Nd: Number, Decimal
<tt style='background-color:#E8E8E8;'> Data.Char <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-Char.html#v:LetterNumber'>LetterNumber </a>  GeneralCategory </tt>	Nl: Number, Letter
<tt style='background-color:#E8E8E8;'> Data.Char <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-Char.html#v:OtherNumber'>OtherNumber </a>  GeneralCategory </tt>	No: Number, Other
<tt style='background-color:#E8E8E8;'> Data.Char <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-Char.html#v:ConnectorPunctuation'>ConnectorPunctuation </a>  GeneralCategory </tt>	Pc: Punctuation, Connector
<tt style='background-color:#E8E8E8;'> Data.Char <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-Char.html#v:DashPunctuation'>DashPunctuation </a>  GeneralCategory </tt>	Pd: Punctuation, Dash
<tt style='background-color:#E8E8E8;'> Data.Char <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-Char.html#v:OpenPunctuation'>OpenPunctuation </a>  GeneralCategory </tt>	Ps: Punctuation, Open
<tt style='background-color:#E8E8E8;'> Data.Char <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-Char.html#v:ClosePunctuation'>ClosePunctuation </a>  GeneralCategory </tt>	Pe: Punctuation, Close
<tt style='background-color:#E8E8E8;'> Data.Char <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-Char.html#v:InitialQuote'>InitialQuote </a>  GeneralCategory </tt>	Pi: Punctuation, Initial quote
<tt style='background-color:#E8E8E8;'> Data.Char <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-Char.html#v:FinalQuote'>FinalQuote </a>  GeneralCategory </tt>	Pf: Punctuation, Final quote
<tt style='background-color:#E8E8E8;'> Data.Char <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-Char.html#v:OtherPunctuation'>OtherPunctuation </a>  GeneralCategory </tt>	Po: Punctuation, Other
<tt style='background-color:#E8E8E8;'> Data.Char <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-Char.html#v:MathSymbol'>MathSymbol </a>  GeneralCategory </tt>	Sm: Symbol, Math
<tt style='background-color:#E8E8E8;'> Data.Char <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-Char.html#v:CurrencySymbol'>CurrencySymbol </a>  GeneralCategory </tt>	Sc: Symbol, Currency
<tt style='background-color:#E8E8E8;'> Data.Char <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-Char.html#v:ModifierSymbol'>ModifierSymbol </a>  GeneralCategory </tt>	Sk: Symbol, Modifier
<tt style='background-color:#E8E8E8;'> Data.Char <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-Char.html#v:OtherSymbol'>OtherSymbol </a>  GeneralCategory </tt>	So: Symbol, Other
<tt style='background-color:#E8E8E8;'> Data.Char <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-Char.html#v:Space'>Space </a>  GeneralCategory </tt>	Zs: Separator, Space
<tt style='background-color:#E8E8E8;'> Data.Char <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-Char.html#v:LineSeparator'>LineSeparator </a>  GeneralCategory </tt>	Zl: Separator, Line
<tt style='background-color:#E8E8E8;'> Data.Char <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Data-Char.html#v:ParagraphSeparator'>ParagraphSeparator </a>  GeneralCategory </tt>	Zp: Separator, Paragraph
