ArrayAccess offset Get $konum	değerin döndürüleceği konum
function array diff ukey	karşılaştırılacak diğer diziler
function array diff ukey $dizi2	karşılaştırılacak diğer dizi
function array diff ukey $anh_karş_işlevi	karşılaştırma işlevinin ilk bileşeninin ikinci bileşenden küçük eşit veya büyük olması durumunda sıfırdan küçük eşit veya büyük bir tamsayı döndürmesi gerekir
function array array diff ukey	diğer tüm değiştirgelerde mevcut olmayan dizi1 girdilerinden oluşan bir dizi döner
function array array diff ukey array $dizi1 array $dizi2 callable $anh_karş_işlevi	karşılaştırma i&ccedil;in bir geri&ccedil;ağırım işlevi kullanarak dizilerin farkını hesaplar
function array fill keys $anahtarlar	değerleri anahtar olarak kullanılacak dizi
function array fill keys $dolgu	dolgu için kullanılacak değer
function array array fill keys	doldurulmuş dizi döner
function array array fill keys array $anahtarlar mixed $dolgu	anahtarları belirtilen diziyi değerlerle doldurur
function array fill $başlangıç	döndürülecek dizinin ilk indisi
function array fill $dolgu	dolgu için kullanılacak değer
function array fill $miktar	diziye yerleştirilecek eleman sayısı
function array array fill	doldurulmuş diziyi döndürür
function array array fill int $başlangıç int $miktar mixed $dolgu	bir diziyi değerlerle doldurur
function array flip $dizi	anahtarları ile değerleri yer değiştirilecek dizi
function array array flip	bir hata oluşmuşsa null aksi takdirde belirtilen dizinin anahtarlarını değer değerlerini anahtar olarak içeren bir dizi döndürür
function array array flip array $dizi	bir dizideki anahtarlarla değerleri yer değiştirir
function array intersect uassoc $dizi2	değerleri ilk dizi ile karşılaştırılacak dizi
function array intersect uassoc $anh_karş_işlevi	karşılaştırma işlevinin ilk bileşeninin ikinci bileşenden küçük eşit veya büyük olması durumunda sıfırdan küçük eşit veya büyük bir tamsayı döndürmesi gerekir
function array intersect uassoc $dizi1	diğer dizilerin karşılaştırılacağı ilk dizi
function array intersect uassoc	değerleri ilk dizi ile karşılaştırılacak diğer dizilerin değişkenlerinin listesi
function array array intersect uassoc	tüm değiştirgelerde mevcut dizi1 değerlerini içeren bir dizi döndürür
function array array intersect uassoc array $dizi1 array $dizi2 callable $anh_karş_işlevi	dizilerin kesişimini hesaplarken ek olarak bir geri&ccedil;ağırım işlevi &uuml;zerinden indisleri de karşılaştırır
function array intersect	değerleri dizi1 dizisindeki değerlerle karşılaştırılacak diğer dizilerin değişkenlerinin listesi
function array intersect $array2	değerleri dizi1 dizisindeki değerlerle karşılaştırılacak ilk dizi
function array intersect $dizi1	aranacak ana değerleri içeren dizi
function array array intersect	tüm değiştirgelerde mevcut olan dizi1 değerlerini içeren bir dizi döner
function array array intersect array $dizi1 array $dizi2	dizilerin kesişimini hesaplar
function array key exists $anahtar	aranacak anahtar veya indis
function array key exists $dizi	anahtarın aranacağı dizi
function bool array key exists	başarı durumunda true başarısızlık durumunda false döner
function bool array key exists mixed $anahtar array $dizi	belirtilen anahtar veya indis dizide var mı diye bakar
function array keys $aynısı	arama sırasında tam karşılaştırma === yapılır
function array keys $dizi	döndürülecek anahtarları içeren dizi
function array keys $arama_değeri	belirtilmişse sadece bu değeri içeren anahtarlar döndürülür
function array array keys	dizi dizisindeki anahtarları içeren bir dizi döndürür
function array array keys array $dizi mixed $arama_değeri bool $aynısı	bir dizideki t&uuml;m anahtarları veya bir anahtar altk&uuml;mesini d&ouml;nd&uuml;r&uuml;r
function array map $işlev	her dizinin her elemanına uygulanacak geri çağırım işlevi
function array map $dizi1	elemanları işlev tarafından işlenecek ilk dizi
function array map $array	elemanları işlev tarafından işlenecek diğer diziler
function array array map	belirtilen dizilerin elemanlarının her birine işlev işlevini uyguladıktan sonra oluşan diziyi döndürür
function array array map callable $işlev array $dizi1	belirtilen dizilerin elemanlarına geri&ccedil;ağırım işlevini uygular
function array merge recursive $dizi1	diğerlerinin ardına ekleneceği dizi
function array merge recursive	kendinden öncekinin ardına eklenecek diziler
function array array merge recursive	elde edilen diziyi döndürür
function array array merge recursive array $dizi1	iki veya daha fazla sayıda diziyi ardarda ekleyerek yeni bir dizi oluşturur
function array merge $dizi1	diğerlerinin ardına ekleneceği dizi
function array merge $dizi2	katıştırılacak diğer dizilerin değişkenlerinin listesi
function array array merge	elde edilen diziyi döndürür
function array array merge array $dizi1	belirtilen dizileri ardarda ekleyerek yeni bir dizi oluşturur
function array pad $yeni_boyut	dizinin yeni boyutu
function array pad $girdi	değer eklenecek dizi
function array pad $dolgu	girdi dizisinin eleman sayısı yeni_boyut tan kısa ise eklenecek elemanların değeri
function array array pad	girdi dizisinin yeni elemanlarına dolgu değeri yerleştirilerek elde edilen yeni_boyut elemanlı yeni bir dizi ile döner
function array array pad array $girdi int $yeni_boyut mixed $dolgu	dizi boyutunu belirtilen boyuta &ccedil;ıkarırken yeni elemanlara belirtilen değeri yerleştirir
function array replace recursive $dizi	elemanları güncellenecek dizi
function array replace recursive $dizi1	ilk diziyi güncelleyecek dizi
function array array replace recursive	bir hata durumunda null aksi takdirde bir dizi döner
function array array replace recursive array $disi array $dizi1 array $dizi2	ilk dizinin elemanlarını aktarılan dizilerden ardışık olarak g&uuml;nceller
function array reverse $dizi	girdi olarak alınan dizi
function array reverse $anahtarları_koru	true belirtilirse dizideki anahtarlar korunur
function array array reverse	tersine sıralanmış diziyi döndürür
function array array reverse array $dizi bool $anahtarları_koru	diziyi tersine sıralayıp d&ouml;nd&uuml;r&uuml;r
function array slice $girdi	girdi dizisi
function array slice $indisleri_koru	array_slice() öntanımlı olarak dizi indislerini sıfırdan itbaren yeniden oluşturur
function array slice $başlangıç	başlangıç pozitif bir değerse silinecek kısmın başlangıcı girdi dizisinin başlangıcından itibaren sayılır
function array slice $uzunluk	uzunluk verilmezse başlangıç tan dizi sonuna kadar herşey silinir
function array array slice	dizinin istenen parçasıyla döner
function array array slice array $girdi int $başlangıç int $uzunluk bool $indisleri_koru	bir dizinin belli bir b&ouml;l&uuml;m&uuml;n&uuml; d&ouml;nd&uuml;r&uuml;r
function array udiff assoc $veri_karş_işlevi	veri karşılaştırması için geriçağırım işlevi
function array udiff assoc $dizi1	ilk dizi
function array udiff assoc $dizi2	ikinci dizi
function array array udiff assoc	diğer değiştirgelerin hiçbirinde mevcut olmayan tüm dizi1 değerlerini içeren bir dizi ile döner
function array array udiff assoc array $dizi1 array $dizi2 callback $veri_karş_işlevi	veri karşılaştırması i&ccedil;in bir geri&ccedil;ağırım işlevi kullanarak diziler arasındaki farkı indislerine de bakarak bulur
function array udiff uassoc $veri_karş_işlevi	veri karşılaştırması için geriçağırım işlevi
function array udiff uassoc $dizi1	ilk dizi
function array udiff uassoc $anh_karş_işlevi	anahtarları indisleri ayrıca karşılaştırmak için bu işlev kullanılır
function array udiff uassoc $dizi2	ikinci dizi
function array array udiff uassoc	diğer değiştirgelerin hiçbirinde mevcut olmayan tüm dizi1 değerlerini içeren bir dizi ile döner
function array array udiff uassoc array $dizi1 array $dizi2 callback $veri_karş_işlevi callback $anh_karş_işlevi	veri ve indis karşılaştırması i&ccedil;in bir geri&ccedil;ağırım işlevi kullanarak diziler arasındaki farkı indislerine de bakarak bulur
function array udiff $veri_karş_işlevi	veri karşılaştırması için geriçağırım işlevi
function array udiff $dizi1	ilk dizi
function array udiff $dizi2	ikinci dizi
function array array udiff	diğer değiştirgelerin hiçbirinde mevcut olmayan tüm dizi1 değerlerini içeren bir dizi ile döner
function array array udiff array $dizi1 array $dizi2 callback $veri_karş_işlevi	veri karşılaştırması i&ccedil;in bir geri&ccedil;ağırım işlevi kullanarak diziler arasındaki farkı bulur
function array uintersect uassoc $dizi1	ilk dizi
function array uintersect uassoc $anh_karş_işlevi	anahtarları karşılaştırmak için geriçağırım işlevi
function array uintersect uassoc $dizi2	ikinci dizi
function array uintersect uassoc $veri_karş_işlevi	karşılaştırma için kullanıcı tarafından sağlanan bir geriçağırım işlevi kullanılır
function array array uintersect uassoc	tüm değiştirgeleri ifade etmek üzere dizi1 in tüm değerlerini içeren bir dizi ile döner
function array array uintersect uassoc array $dizi1 array $dizi2 callback $veri_karş_işlevi callback $anh_karş_işlevi	veriyi ve indisleri bir geri&ccedil;ağırım işleviyle karşılaştırarak dizilerin kesişimini hesaplarken ek olarak indislere de bakar
function array uintersect $dizi1	ilk dizi
function array uintersect $işlev	karşılaştırma için geriçağırım işlevi
function array uintersect $dizi2	ikinci dizi
function array array uintersect	tüm değiştirgeleri ifade etmek üzere dizi1 in tüm değerlerini içeren bir dizi ile döner
function array array uintersect array $dizi1 array $dizi2 callback $işlev	veriyi bir geri&ccedil;ağırım işleviyle karşılaştırarak dizilerin kesişimini hesaplar
function array unique $dizi	üzerinde işlem yapılacak dizi
function array unique $seçenekler	isteğe bağlı bu değiştirge ile işlevin davranışını değiştirebilirsiniz
function array array unique	yinelenen değerler içermeyen bir dizi döner
function array array unique array $dizi int $seçenekler	diziden yinelenen değerleri siler
function array unshift $dizi	işleme sokulacak dizi
function array unshift $dğş	diziye eklenecek değişken
function int array unshift	dizeye eklenen üye sayısı ile döner
function int array unshift array $dizi mixed $dğş	bir dizinin başlangıcına bir veya daha fazla eleman ekler
function array	burada indis = > değerler sözdizimi virgüllerle ayrılarak indis ve değerler tanımlanır
function array array	değiştirgelerle tanımlanan diziyi döndürür
function array array	bir dizi oluşturur
function arsort $seçenekler	bu değiştirge ile sıralamayı değiştirebilirsiniz
function arsort $dizi	sıralanacak dizi
function bool arsort	başarı durumunda true başarısızlık durumunda false döner
function bool arsort array $dizi int $seçenekler	bir dizinin değerlerini anahtarlarıyla ilişkilerini bozmadan tersine sıralar
function assert options $değer	seçenek için isteğe bağlı yeni değer
function assert options $seçenek	sav seçenekleri seçenek ini değiştirgesi öntanımlı açıklama assert_active assert
function mixed assert options	hata oluşursa false aksi takdirde belirtilen seçeneğin özgün değeri döner
function mixed assert options int $seçenek mixed $değer	&ccedil;eşitli kararlılık denetim se&ccedil;eneklerini a&ccedil;ar / kapar
function base64 decode $titiz	girdi base64 karakterleri dışında karakterler içeriyorsa işlev false döndürür
function base64 decode $veri	kodlaması kaldırılacak veri
function string base64 decode	başarısızlık durumunda false aksi takdirde özgün veriyi döndürür
function string base64 decode string $veri bool $titiz	mime base64 ile kodlanmış verinin kodunu a&ccedil;ar
function base64 encode $veri	kodlanacak veri
function string base64 encode	kodlanmış veri bir dizge olarak döner
function string base64 encode string $veri	veriye mime base64 kodlaması uygular
function basename $uzantı	dönen bileşenden kaldırılacak dosya uzantısı
function basename $yol	dosya yolu
function string basename	belirtilen dosya yolunun dosya ismi bileşenini döndürür
function string basename string $yol string $uzantı	dosya yolunun dosya ismi bileşenini d&ouml;nd&uuml;r&uuml;r
function bbcode add smiley $bbcode_havuzu	bbcode_create() işlevinden dönen bbcode_havuzu özkaynağı
function bbcode add smiley $kaynak	bulunduğu zaman değiştirilecek gülen surat dizgesi
function bbcode add smiley $hedef	gülen surat ile değişitirilecek dizge
function bool bbcode add smiley	başarı durumunda true başarısızlık durumunda false döner
function bool bbcode add smiley resource $bbcode_havuzu string $kaynak string $hedef	&ccedil;&ouml;z&uuml;mleyiciye g&uuml;len surat ekler
function bbcode set arg parser $bbcode_havuzu	bbcode_create() işlevinden dönen bbcode_havuz özkaynağı
function bbcode set arg parser $bbcode_degistirge_havuzu	sadece değiştirge çözümlemesi için kullanılacak olan bbcode_create() işlevinden dönen bbcode_havuz özkaynağı
function bool bbcode set arg parser	başarı durumunda true başarısızlık durumunda false döner
function bool bbcode set arg parser resource $bbcode_havuzu resource $bbcode_degistirge_havuzu	&ouml;zkaynağa değiştirge &ccedil;&ouml;z&uuml;mlemesi i&ccedil;in farklı bir kural k&uuml;mesi kullanan başka bir &ccedil;&ouml;z&uuml;mleyici ekler
function bcadd $sag_terim	dizge olarak sağ terim
function bcadd $bölüntü	bu seçimlik değiştirge ondalık iminin sağında kaç hane gösterileceğini belirler
function bcadd $sol_terim	dizge olarak sol terim
function string bcadd	iki terimin toplamını dizge olarak verir
function string bcadd string $sol_terim string $sag_terim int $olcek	iki keyfi duyarlıklı sayıyı toplar
function bccomp $sag_terim	dizge olarak sağ terim
function bccomp $olcek	seçime bağlı olcek değiştirgesi karşılaştırmada dikkate alınacak ondalık bölümden sonraki hane sayısını ayarlar
function bccomp $sol_terim	dizge olarak sol terim
function int bccomp	eğer iki terim eşitse 0 döndürür sol_terim sag_terim den büyükse 1 değilse -1 döndürür
